date,SRAG_adjustment_multiplier
2020-02-29,2148.1074302071843
2020-03-01,994.4256191839321
2020-03-02,994.4256191839321
2020-03-03,994.4256191839321
2020-03-04,994.4256191839321
2020-03-05,994.4256191839321
2020-03-06,994.4256191839321
2020-03-07,994.4256191839321
2020-03-08,409.9777344730257
2020-03-09,409.9777344730257
2020-03-10,409.9777344730257
2020-03-11,409.9777344730257
2020-03-12,409.9777344730257
2020-03-13,409.9777344730257
2020-03-14,409.9777344730257
2020-03-15,50.531150657825286
2020-03-16,50.531150657825286
2020-03-17,50.531150657825286
2020-03-18,50.531150657825286
2020-03-19,50.531150657825286
2020-03-20,50.531150657825286
2020-03-21,50.531150657825286
2020-03-22,16.306449435020763
2020-03-23,16.306449435020763
2020-03-24,16.306449435020763
2020-03-25,16.306449435020763
2020-03-26,16.306449435020763
2020-03-27,16.306449435020763
2020-03-28,16.306449435020763
