,Brazil,India,Mexico,Russia,South Africa,United States,South Korea
30,0.1166077738515901,0.08235699517574087,0.14578096947935368,0.0233328078196437,0.015437392795883362,0.11152416356877323,0.012738065792728173
31,0.10935979762599728,0.08091286307053942,0.14115058157812008,0.022675736961451247,0.01842818428184282,0.09094736842105264,0.01274197500612595
32,0.10988319856244384,0.0757314974182444,0.14123801220575413,0.02283210332103321,0.02481902792140641,0.08698532409294742,0.013720252549781447
33,0.11015262110152621,0.07667948427957476,0.14203954214360043,0.02290000987069391,0.02496255616575137,0.0819157288667888,0.014423076923076924
34,0.11168622876722316,0.07258375048132461,0.15406494429959705,0.022908450113283546,0.02564102564102564,0.07126626143271034,0.01497682158564127
35,0.10899730018208074,0.07220090687129403,0.14717871701351642,0.02304181389870436,0.024850437183617118,0.06825718099995694,0.01529480443666083
36,0.10774486195889567,0.06815346225826575,0.14200239329876346,0.02289156626506024,0.025528169014084508,0.0738534518658,0.016065649560795193
37,0.10902332213056319,0.06445548543037465,0.15873309872198554,0.022097337407245746,0.02401656314699793,0.07425499320750355,0.016365496079099897
38,0.11323394606069379,0.06067496409765438,0.16589704121771848,0.021609326130224624,0.025937749401436554,0.07039108743938319,0.01708441047544116
39,0.11105597906987234,0.059331293706293704,0.1697633793870097,0.020947325438954674,0.028790786948176585,0.06836635271191946,0.017631960718669792
40,0.10990183525394794,0.056933320467046224,0.1776,0.019865416278903286,0.028386633129716135,0.06819075121325151,0.018036959167865442
41,0.10850288971577864,0.055953838083581044,0.17406962785114047,0.019213946513371657,0.028345418589321027,0.06744974654780633,0.017839553463937834
42,0.10261299435028248,0.05500807754442649,0.1635395230601622,0.018508955507841165,0.027549081697276757,0.0667537358765642,0.018288064062330918
43,0.10889071487263763,0.05363412265630836,0.16347469220246238,0.01743168506288941,0.02727272727272727,0.06800514719066755,0.0186455207886841
44,0.10896027551808088,0.053901794408123524,0.16514051152510262,0.016871458585344112,0.02683982683982684,0.06836900900235787,0.018674825912639796
45,0.10972977403754201,0.05244399185336049,0.1642640364188164,0.016431969372476925,0.028335625859697386,0.06797263175042763,0.019096316393613692
46,0.10878563667408289,0.05050680567622357,0.1598040058454397,0.01675890963637304,0.026056159878573234,0.06755167017430252,0.019252665355553256
47,0.11194894162292698,0.05021505376344086,0.15320074580484774,0.017093336307010976,0.027488151658767772,0.06600114656494906,0.019619865113427344
48,0.11646045637085355,0.05039031224979984,0.14889466840052015,0.01703535309376002,0.028204540243063517,0.06547899358775008,0.020437359493153485
49,0.11945713224206132,0.050203337540316924,0.14676023710567554,0.01638333243953451,0.028816542014958205,0.06422937783137242,0.02044907778668805
50,0.11923139093186777,0.04970316765610781,0.1462425140060532,0.01581242510716624,0.028791988316294596,0.06533704103969569,0.020671834625323
51,0.1194263609774507,0.049702113768056805,0.14965377268385865,0.015559916003993252,0.029623698959167333,0.07170262790073403,0.02048050413548641
52,0.11536686663590216,0.04910175120772947,0.15191864711500647,0.015509095961863228,0.028598130841121495,0.07141983507605684,0.020904561883364266
53,0.11351150465356774,0.049225584396959704,0.1540262172284644,0.015462932222658175,0.02851071365326722,0.07387750219315735,0.021100739012057564
54,0.11008857009669028,0.05326991676575505,0.15236993104778437,0.015258502507089334,0.0299109393379264,0.07342188240044835,0.021488723260090988
55,0.11018835378237765,0.054066130473637175,0.15180188337558856,0.01505710865062789,0.029356060606060608,0.07296290517261479,0.021667950693374422
56,0.10920907858038433,0.05394856278366112,0.14762898896510587,0.014727457397584923,0.028600914049830457,0.07301654325310594,0.02197064184975535
57,0.1071211056453502,0.05381959307136946,0.1434651676370207,0.014218150229792037,0.02853185595567867,0.07393243163428032,0.02200956937799043
58,0.10805882802519953,0.05305871009213627,0.15085494716618636,0.013829611476718892,0.027205493924986793,0.07313839765877085,0.022200956937799044
59,0.11005706355699624,0.052751375687843924,0.15271042918144315,0.013619102786895798,0.02804815573770492,0.07442379392579815,0.02226027397260274
60,0.10996865947581243,0.05186561023205511,0.1511682874122096,0.013331003019363704,0.02891156462585034,0.07265681521695787,0.022397266774224163
61,0.10687511597699016,0.04938298193095428,0.1512277139775395,0.013010837660871528,0.02776840921866217,0.07235752007248132,0.022434683831881862
62,0.10809397201760886,0.04889554777186127,0.15077704722056187,0.01287135564439287,0.027707006369426752,0.07223501257754839,0.02247191011235955
63,0.10500886454024182,0.04813793624414564,0.1478213694249329,0.01276953431717973,0.02636045931103345,0.07139937442240706,0.022613775558277583
64,0.10357052980622622,0.047016435341308435,0.14677787871280315,0.01254721300217466,0.02684941794968081,0.07072981827569781,0.022566995768688293
65,0.10195557635142574,0.046126512688143204,0.147844692620812,0.012297600115657076,0.02748898678414097,0.07235212649932532,0.022528865108420164
66,0.10025073907104701,0.04563148445320072,0.1515453142885582,0.012215653431965656,0.02807685936723538,0.07248967983322058,0.022699559140793548
67,0.0990663741018691,0.04510662377888968,0.15283483976992604,0.012267254438211755,0.028966166889080776,0.07306709308227516,0.022765598650927487
68,0.09975583819973742,0.04470292272033467,0.155200746136081,0.012285674641717379,0.02935522034900917,0.07069356042736671,0.02284002620986614
69,0.10119433072994385,0.04446628343721813,0.15227812659087053,0.012360991162024479,0.028352490421455937,0.07007071052168422,0.023003553394426782
70,0.09979679744303449,0.04403676781662244,0.15022653853186776,0.012453913535727808,0.02765066065098292,0.06973942056814146,0.023079798168566625
71,0.09879360135621286,0.04371111382213005,0.14783181298781786,0.012567790113291122,0.029270370595752448,0.07019473959171742,0.023160254015689205
