,China,France,Germany,Italy,Spain,United States,Brazil,South Korea
23,1.1811102065489818e-08,1.5320150078641393e-08,0.0,3.30787219996061e-08,0.0,0.0,1.1761417722044946e-07,0.0
24,1.8064038453102075e-08,1.5320150078641393e-08,0.0,3.30787219996061e-08,0.0,0.0,1.5995528101981127e-07,0.0
25,2.84855990991225e-08,1.5320150078641393e-08,0.0,9.923616599881829e-08,0.0,0.0,2.16410086085627e-07,0.0
26,3.890715974514293e-08,1.5320150078641393e-08,0.0,1.8193297099783355e-07,0.0,0.0,2.6816032406262474e-07,0.0
27,5.627642748851031e-08,1.5320150078641393e-08,0.0,1.9847233199763658e-07,0.0,0.0,3.6225166583898434e-07,0.0
28,7.364569523187769e-08,1.5320150078641393e-08,0.0,2.8116913699665185e-07,0.0,0.0,4.32820172171254e-07,0.0
29,9.170973368497976e-08,1.5320150078641393e-08,0.0,3.4732658099586406e-07,0.0,0.0,5.363206481252495e-07,0.0
30,1.1811102065489819e-07,1.5320150078641393e-08,0.0,4.796414689942885e-07,0.0,0.0,6.398211240792451e-07,0.0
31,1.4798616117349007e-07,1.5320150078641393e-08,0.0,5.788776349931067e-07,0.0,0.0,7.480261671220585e-07,0.0
32,1.7994561382128605e-07,1.5320150078641393e-08,0.0,8.600467719897586e-07,0.0,0.0,9.456179848524136e-07,1.9504894392407227e-08
33,2.1121029575934734e-07,3.0640300157282787e-08,0.0,1.3231488799842439e-06,2.1388186102799365e-08,0.0,1.1338006684051328e-06,3.9009788784814455e-08
34,2.5081222621422494e-07,3.0640300157282787e-08,0.0,1.7697116269789264e-06,6.41645583083981e-08,0.0,1.4066655595565755e-06,9.752447196203614e-08
35,2.9597232234698014e-07,3.0640300157282787e-08,0.0,2.4478254279708515e-06,1.0694093051399683e-07,0.0,1.6889395848856543e-06,1.365342607468506e-07
36,3.4182718918947005e-07,3.0640300157282787e-08,0.0,3.258254116961201e-06,1.0694093051399683e-07,0.0,,1.5603915513925782e-07
37,3.9185068029036807e-07,3.0640300157282787e-08,0.0,3.85367111295411e-06,1.0694093051399683e-07,0.0,,2.145538383164795e-07
38,4.4256894210100084e-07,4.596045023592418e-08,0.0,6.053406125927916e-06,5.988692108783822e-07,0.0,,2.3405873270888674e-07
39,5.023192231381846e-07,6.128060031456557e-08,0.0,7.674263503908615e-06,7.485865135979777e-07,0.0,,2.5356362710129395e-07
40,5.641538163045725e-07,6.128060031456557e-08,0.0,1.0436336790875724e-05,1.0052447468315702e-06,3.021123876390028e-09,,3.1207831027851564e-07
41,6.31546575148838e-07,1.0724105055048977e-07,0.0,1.3678051546837122e-05,1.7966076326351466e-06,6.042247752780056e-09,,3.3158320467092287e-07
42,7.06581811800185e-07,1.3788135070777254e-07,2.3870921809661745e-08,1.68039907757999e-05,2.5879705184387233e-06,1.8126743258340167e-08,,4.29107676632959e-07
