,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United States,Brazil,South Korea
46,2257.0,1784.0,3062.0,27980.0,,,11178.0,1167.0,,338.0,,6284
47,2815.0,2281.0,3795.0,31506.0,,,13716.0,1301.0,,433.0,,6767
48,3401.0,2876.0,4838.0,35713.0,,,17147.0,1423.0,,554.0,,7134
49,3743.0,3661.0,6012.0,41035.0,,,19980.0,1623.0,,754.0,,7382
50,4269.0,4499.0,7156.0,47021.0,,,24926.0,1746.0,,1025.0,,7513
51,4937.0,5423.0,8198.0,53578.0,,,28572.0,1906.0,,1312.0,,7755
52,6235.0,6633.0,14138.0,59138.0,,,33089.0,2016.0,,1663.0,,7869
53,7284.0,7730.0,18187.0,63927.0,,,39673.0,2272.0,,2174.0,,7979
54,9134.0,9134.0,21463.0,69176.0,,,47610.0,2510.0,,2951.0,,8086
55,10836.0,10995.0,24774.0,74386.0,,,56188.0,2806.0,,3774.0,,8162
56,11899.0,12612.0,29212.0,80539.0,,,64059.0,3046.0,,4661.0,,8236
57,12775.0,14459.0,31554.0,86498.0,,,72248.0,3447.0,,6427.0,,8320
58,13964.0,16018.0,36508.0,92472.0,,,78797.0,3700.0,,9415.0,,8413
59,15348.0,19856.0,42288.0,97689.0,,,85195.0,4028.0,,14250.0,,8565
60,16770.0,22302.0,48582.0,101739.0,,,94417.0,4435.0,,19624.0,,8652
61,,25233.0,52547.0,105792.0,,,102136.0,4947.0,,26747.0,,8799
62,,29155.0,57298.0,110574.0,,,110238.0,5466.0,,35206.0,,8897
63,,32964.0,61913.0,115242.0,,,117710.0,6078.0,,46442.0,,8961
64,,37575.0,67366.0,119827.0,,,,,,55231.0,,9037
65,,40174.0,73522.0,,,,,,,69194.0,,9137
66,,44550.0,73522.0,,,,,,,85991.0,,9241
67,,52128.0,79696.0,,,,,,,104686.0,,9332
68,,56989.0,,,,,,,,124665.0,,9478
69,,59105.0,,,,,,,,143025.0,,9583
70,,,,,,,,,,164620.0,,9661
71,,,,,,,,,,189618.0,,9786
72,,,,,,,,,,216721.0,,9786
73,,,,,,,,,,245540.0,,9976
74,,,,,,,,,,277965.0,,10062
75,,,,,,,,,,,,10156
